"Lat","Lon ","hs - P.1511"," Sat.lon.","P","ρ(P) - P.836","Elevation angle, θ","f ","T - P.1510-1","e(P)","pdry(hs) -  P.835-6","gO (dB/km)","hO (km)","AO","AO/Sin(θ)","Elevation angle","f ","V(P) - P.836","ρref ","Tref","eref","Pdry,ref","γw","γwref","a","b","(ahb+1)","0.0176* (γw/γw_ref)*(ahb+1)","Awv","Awv/Sin(θ)","A_gas"
" (°N)","(°E)","(km)","(°E)"," (%)"," (g/m3)","(°)","(GHz)","K","(hPA)","(hPA)","(Eq.22)","(Eq. 25a-e)","(dB)","(dB)","θ(°)","(GHz)"," (kg/m2)","(g/m3)"," (C)","(hPA)","(hPA)","(dB/km)","(dB/km)",,,,,"(dB/km)","(dB)","(dB)"
51.5,-0.14,0.0691642239999998,1,1,13.629275802124,31.07694309,14.25,283.610875555556,17.8376134906717,1004.96883322204,0.00970953211625874,5.19975156180379,0.0504871547859004,0.0978075535442625,31.07694309,14.25,33.3205520527569,9.07916949666402,12.6859698694518,11.9757878112049,815,0.0172082407064638,0.155301142276439,nan,nan,1,0.00195017906497209,0.0649810430465995,0.125886215495694,0.223693769039956
41.9,12.49,0.0567010449919997,1,1,18.1923937366449,40.23202374,14.25,288.089736888889,24.1857033916433,1006.45699815734,0.00937485420361279,5.20597661166549,0.0488052717217821,0.0755634678705868,40.23202374,14.25,35.9100336240645,9.78475030628462,13.7337628983753,12.9537885873925,815,0.0186130872204732,0.167193926605659,nan,nan,1,0.00195934351044328,0.0703600913411107,0.108936029118607,0.184499496989194
33.94,18.43,0,1,1,22.7300017797136,46.35969261,14.25,293.369679466667,30.7720043211414,1013.25,0.00908273987718779,5.21641342321792,0.0473793262149591,0.0654694039169344,46.35969261,14.25,37.955599905521,10.3421253148559,14.5093672169314,13.7286996942762,815,0.0197346757799617,0.176574919223061,nan,nan,1,0.00196704206495236,0.0746602616146618,0.103166575269933,0.168635979186867
51.5,-0.14,0.0691642239999998,1,0.5,14.2460037781315,31.07694309,14.25,283.610875555556,18.6447697493476,1004.96883322204,0.00971731233862347,5.20039665553328,0.0505338785865498,0.0978980704421386,31.07694309,14.25,35.3127334993925,9.6219982287173,13.4989391718501,12.727898407823,815,0.0182875623242108,0.164452419702785,nan,nan,1,0.00195716850799648,0.069112969936283,0.133890898314868,0.231788968757007
41.9,12.49,0.0567010449919997,1,0.5,18.6800130418508,40.23202374,14.25,288.089736888889,24.8339642007744,1006.45699815734,0.00938083692036797,5.20648783173187,0.0488412132773569,0.0756191149038699,40.23202374,14.25,37.3747179644759,10.1838468568054,14.293451272392,13.5084452595739,815,0.0194151083686916,0.173912213895815,nan,nan,1,0.00196481833928971,0.073434531282383,0.113696075226878,0.189315190130748
33.94,18.43,0,1,0.5,23.1995010829432,46.35969261,14.25,293.369679466667,31.4076151199337,1013.25,0.00908834523366693,5.21690334269605,0.0474130186290927,0.0655159605576904,46.35969261,14.25,40.5119058683654,11.0386664491459,15.4218711158265,14.6998090994625,815,0.0211511429711349,0.188281260163792,nan,nan,1,0.00197714905863777,0.0800980765512607,0.110680622660445,0.176196583218135
51.5,-0.14,0.0691642239999998,1,0.3,14.6189505964874,31.07694309,14.25,283.610875555556,19.1328720737111,1004.96883322204,0.00972201715938372,5.20078631907424,0.0505621338363279,0.0979528086595584,31.07694309,14.25,36.8805822223484,10.0492049652175,14.1071210713058,13.3212076020483,815,0.0191439317990477,0.171646379557347,nan,nan,1,0.00196294964410053,0.0723947257475792,0.140248565103455,0.238201373763013
41.9,12.49,0.0567010449919997,1,0.3,19.0245095250959,40.23202374,14.25,288.089736888889,25.29195174677,1006.45699815734,0.00938506361145816,5.20684865879923,0.0488666058780664,0.075658429365201,40.23202374,14.25,38.1932151465084,10.4068706121276,14.5967388764542,13.8188420883661,815,0.0198656429280651,0.177663844239511,nan,nan,1,0.00196795986842769,0.0751627146545533,0.116371760129564,0.192030189494765
33.94,18.43,0,1,0.3,23.5146450469728,46.35969261,14.25,293.369679466667,31.8342587918914,1013.25,0.00909210772529314,5.21723189672888,0.0474356344328945,0.0655472113861062,46.35969261,14.25,42.2102238719407,11.501423398349,15.9968029638939,15.3465611682821,815,0.0221013782174839,0.196048194487826,nan,nan,1,0.00198412567707616,0.0837503890194509,0.11572743820877,0.181274649594876
51.5,-0.14,0.0691642239999998,1,0.2,14.8780457481823,31.07694309,14.25,283.610875555556,19.4719685334453,1004.96883322204,0.00972528570136201,5.20105683430924,0.0505817636626788,0.0979908370511368,31.07694309,14.25,37.8295945453611,10.3077914292537,14.4628125651794,13.6809085570047,815,0.0196652827790317,0.17599740558965,nan,nan,1,0.00196655726686071,0.0743940640555744,0.144121835234077,0.242112672285214
41.9,12.49,0.0567010449919997,1,0.2,19.2798117385646,40.23202374,14.25,288.089736888889,25.6313608261671,1006.45699815734,0.00938819595200427,5.20711588039246,0.0488854242299177,0.0756875651506465,40.23202374,14.25,38.9161964390022,10.6038682395101,14.8592758224332,14.0932737082502,815,0.0202650078244052,0.180976070275933,nan,nan,1,0.00197078065163935,0.0766952869773814,0.118744587395756,0.194432152546403
33.94,18.43,0,1,0.2,23.7593450460247,46.35969261,14.25,293.369679466667,32.1655350276428,1013.25,0.00909502918080076,5.21748684509534,0.0474531951065862,0.0655714769662827,46.35969261,14.25,43.4104605766519,11.8284633723847,16.3893346227134,15.804362780108,815,0.0227773759503282,0.201532284136377,nan,nan,1,0.00198916922141615,0.0863507520665754,0.119320655594143,0.184892132560426
